Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,SQ_LDS_BANK_CONFLICT,LDSBankConflict

0,2,1,423332,423332,622592,256,0,0,56,0,48,64,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*), void at::native::(anonymous namespace)::distribution_nullary_kernel<c10::Half, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*), void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float), void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*) const&, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda'(int, float)>(long, at::PhiloxCudaState, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)) (.kd)",1161088366015294,1161088366300466,0,0.000000,0.000000
1,2,1,423332,423332,622592,256,0,0,56,0,48,64,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*), void at::native::(anonymous namespace)::distribution_nullary_kernel<c10::Half, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*), void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float), void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*) const&, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda'(int, float)>(long, at::PhiloxCudaState, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)) (.kd)",1161088366427035,1161088366573009,0,0.000000,0.000000
2,2,1,423332,423332,622592,256,0,0,56,0,48,64,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*), void at::native::(anonymous namespace)::distribution_nullary_kernel<c10::Half, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*), void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float), void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda0'(hiprandStatePhilox4_32_10*) const&, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float))::'lambda'(int, float)>(long, at::PhiloxCudaState, at::CUDAGeneratorImpl*, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::'lambda'()::operator()() const::'lambda1'()::operator()() const::'lambda'(float)) (.kd)",1161088366621400,1161088366766171,0,0.000000,0.000000
3,2,1,423332,423332,256,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161088370179494,1161088370181218,0,0.000000,0.000000
4,2,1,423332,423332,3145728,512,65536,0,48,128,64,64,"attn_fwd.kd",1161089615636679,1161089635440128,0,100663296.000000,0.113027
5,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161089635980243,1161089636032803,0,0.000000,0.000000
6,2,1,423332,423332,256,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161089636106973,1161089636108657,0,0.000000,0.000000
7,2,1,423332,423332,3145728,512,65536,0,48,128,64,64,"attn_fwd.kd",1161089636375427,1161089656193590,0,100663296.000000,0.113366
8,2,1,423332,423332,16777216,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul>>(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) (.kd)",1161089656508351,1161089656554055,0,0.000000,0.000000
